date,count
2021-07-01,500
2021-09-17,2330
2021-09-19,2340
2021-09-18,2358
2021-12-01,4002
2021-10-08,2724
2021-09-26,2509
2021-12-07,4185
2021-11-22,3772
2021-09-21,2404
2021-11-03,3312
2021-09-01,1920
2021-11-26,3883
2021-08-17,1376
2021-11-09,3474
2021-10-13,2819
2021-10-10,2765
2021-08-27,1788
2021-11-02,3284
2021-08-24,1655
2021-10-24,3068
2021-10-16,2905
2021-08-10,1241
2021-10-22,3036
2021-09-14,2250
2021-10-01,2608
2021-11-12,3556
2021-11-17,3642
2021-11-21,3690
2021-09-12,2203
2021-08-11,1268
2021-08-07,1013
2021-12-03,4069
2021-11-14,3593
2021-10-28,3167
2021-09-25,2496
2021-09-24,2428
2021-10-25,3082
2021-09-02,1964
2021-08-05,1136
2021-10-03,2634
2021-09-22,2427
2021-11-11,3508
2021-10-15,2699
2021-08-30,1856
2021-08-09,1176
2021-08-29,1843
2021-08-20,1454
2021-08-12,1281
2021-10-23,3059
2021-11-19,3691
2021-09-09,2130
2021-08-22,1578
2021-10-19,2955
2021-11-20,3692
2021-09-04,2008
2021-08-06,1143
2021-11-13,3574
2021-12-08,4199
2021-12-04,3926
2021-10-29,3189
2021-09-07,2062
2021-08-21,1525
2021-08-28,1833
2021-09-10,2170
2021-11-01,3258
2021-11-04,3332
2021-11-06,3374
2021-10-05,2673
2021-11-05,3347
2021-08-16,1344
2021-09-05,2023
2021-11-23,3805
2021-08-13,1301
2021-12-06,3601
2021-08-08,1174
2021-11-15,3603
2021-09-15,2275
2021-11-16,3619
2021-10-26,3105
2021-08-31,1887
2021-11-08,3423
2021-09-27,2522
2021-11-07,3341
2021-11-30,3963
2021-11-28,3914
2021-10-17,2923
2021-08-15,1323
2021-12-02,3976
2021-11-25,3834
2021-09-03,1987
2021-09-28,2542
2021-08-18,1386
2021-09-06,2036
2021-09-11,2190
2021-10-06,2385
2021-11-18,3542
2021-10-11,2773
2021-09-13,2215
2021-10-27,3142
2021-09-16,2299
2021-10-09,2748
2021-08-26,1736
2021-10-31,3226
2021-11-27,3899
2021-10-02,2623
2021-11-29,3938
2021-12-05,4137
2021-09-23,2408
2021-10-21,2976
2021-10-20,2979
2021-09-08,2070
2021-08-03,1101
2021-11-24,3833
2021-10-12,2789
2021-10-30,3212
2021-09-29,2569
2021-09-20,2382
2021-10-18,2938
2021-08-14,1324
2021-11-10,3499
2021-10-04,2645
2021-08-19,1402
2021-10-07,2705
2021-09-30,2586
2021-08-23,1614
2021-10-14,2851
2021-08-25,1706
2021-08-04,1133
2021-12-08,4230
2021-12-08,4198
2021-12-08,4235
2021-12-08,4235
2021-12-08,4235
2021-12-08,4168
2021-12-09,4258
2021-12-10,4272
2021-12-11,3919
2021-12-12,4307
2021-12-13,3735
2021-12-14,4343
2021-12-14,3246
2021-12-15,2508
2021-12-15,2256
2021-12-15,4370
2021-12-15,4295
2021-12-16,4414
2021-12-17,4435
2021-12-18,4444
2021-12-19,4459
2021-12-20,4498
2021-12-21,4515
2021-12-22,4442
2021-12-23,4541
2021-12-24,4571
2021-12-25,4578
2021-12-26,4593
2021-12-27,4567
2021-12-28,4634
2021-12-29,4681
2021-12-30,4708
2021-12-31,4715
2022-01-01,4706
2022-01-02,3470
2022-01-03,4568
2022-01-04,4810
2022-01-05,4839
2022-01-06,4819
2022-01-07,4880
2022-01-08,4895
2022-01-09,4919
2022-01-10,4752
2022-01-11,4754
2022-01-12,4946
2022-01-13,5022
2022-01-14,5021
2022-01-15,5061
2022-01-16,5080
2022-01-17,5093
2022-01-18,2437
